Img name,Layer2 In,Layer2 Out,Layer5 In,Layer5 Out,Layer8 In,Layer8 Out,Layer11 In,Layer11 Out
1,0.453,0.344,0.174,0.128,0.139,0.157,3.985,3.778
10,0.236,0.403,0.212,0.146,0.257,0.168,5.625,2.693
100,0.363,0.382,0.16,0.161,0.099,0.174,2.593,2.467
1000,0.348,0.336,0.162,0.094,0.159,0.113,3.889,3.151
1003,0.442,0.344,0.146,0.153,0.145,0.169,3.113,3.539
1006,0.368,0.287,0.157,0.145,0.218,0.154,2.315,4.183
1007,0.39,0.285,0.124,0.2,0.113,0.174,2.018,4.036
1008,0.294,0.308,0.202,0.154,0.164,0.226,3.154,4.073
1009,0.304,0.231,0.129,0.192,0.098,0.257,2.537,3.608
101,0.364,0.372,0.206,0.102,0.171,0.137,4.713,3.26
1015,0.433,0.317,0.164,0.133,0.163,0.163,3.66,3.31
1021,0.274,0.302,0.152,0.125,0.161,0.085,3.748,3.109
1024,0.454,0.215,0.165,0.113,0.132,0.194,2.869,3.846
1025,0.517,0.252,0.185,0.152,0.179,0.245,2.644,4.36
1027,0.322,0.281,0.152,0.138,0.148,0.139,3.069,3.186
1029,0.237,0.276,0.128,0.171,0.198,0.147,3.745,1.97
1030,0.399,0.263,0.161,0.169,0.144,0.166,3.481,3.493
1036,0.328,0.387,0.152,0.126,0.124,0.182,2.028,2.231
1038,0.4,0.294,0.135,0.149,0.121,0.18,3.307,4.16
104,0.395,0.315,0.176,0.139,0.15,0.143,2.987,2.745
1040,0.323,0.438,0.154,0.201,0.152,0.161,3.589,1.626
1041,0.275,0.491,0.146,0.169,0.147,0.201,3.853,2.841
1042,0.319,0.352,0.171,0.12,0.177,0.178,4.172,3.476
1043,0.308,0.324,0.175,0.105,0.136,0.161,3.46,4.179
1048,0.321,0.247,0.124,0.166,0.153,0.241,4.569,4.077
1049,0.323,0.366,0.149,0.159,0.127,0.14,2.895,2.524
105,0.451,0.268,0.15,0.162,0.105,0.213,1.956,2.528
1050,0.287,0.447,0.121,0.198,0.15,0.188,3.316,2.667
1051,0.443,0.224,0.144,0.192,0.094,0.226,3.241,4.878
1052,0.416,0.301,0.13,0.138,0.128,0.23,4.354,4.197
1053,0.374,0.281,0.121,0.14,0.152,0.203,3.795,4.347
1054,0.336,0.237,0.144,0.122,0.152,0.195,3.598,3.304
1056,0.384,0.274,0.133,0.135,0.163,0.157,4.035,3.701
1057,0.353,0.36,0.153,0.125,0.139,0.128,4.112,3.436
1058,0.369,0.354,0.135,0.131,0.14,0.107,4.033,3.15
1059,0.347,0.341,0.159,0.112,0.167,0.124,4.196,3.265
106,0.326,0.301,0.184,0.165,0.143,0.127,3.242,2.995
1060,0.422,0.317,0.125,0.156,0.102,0.235,4.238,4.843
1061,0.307,0.347,0.115,0.176,0.094,0.133,3.051,3.897
1063,0.364,0.309,0.135,0.176,0.114,0.25,3.846,4.292
1064,0.437,0.296,0.152,0.132,0.147,0.149,4.033,3.366
1066,0.339,0.301,0.14,0.22,0.144,0.169,2.841,2.811
107,0.378,0.243,0.151,0.138,0.174,0.175,3.267,4.198
1074,0.397,0.267,0.136,0.156,0.133,0.185,2.728,3.931
1075,0.268,0.47,0.15,0.202,0.143,0.195,3.815,2.854
1076,0.314,0.382,0.139,0.126,0.123,0.146,3.776,3.794
1078,0.265,0.388,0.151,0.109,0.207,0.128,5.576,3.153
1079,0.343,0.315,0.138,0.099,0.14,0.135,4.676,3.423
108,0.48,0.24,0.141,0.162,0.087,0.191,3.348,4.419
1081,0.306,0.495,0.16,0.212,0.155,0.167,2.001,1.704
1085,0.356,0.387,0.171,0.165,0.15,0.148,2.851,1.563
1086,0.328,0.316,0.131,0.101,0.129,0.188,3.617,2.9
1087,0.31,0.264,0.169,0.118,0.143,0.18,2.899,3.668
1089,0.353,0.277,0.16,0.043,0.145,0.054,3.368,1.946
1091,0.367,0.287,0.145,0.165,0.119,0.241,3.837,4.254
1094,0.398,0.251,0.134,0.131,0.141,0.19,4.026,4.093
1099,0.276,0.415,0.149,0.191,0.151,0.195,2.794,1.85
11,0.416,0.324,0.174,0.069,0.184,0.068,4.794,1.089
110,0.301,0.175,0.149,0.223,0.118,0.231,2.757,4.572
1101,0.308,0.382,0.113,0.171,0.149,0.175,2.35,2.641
1102,0.449,0.323,0.156,0.138,0.151,0.178,4.083,3.721
1103,0.33,0.452,0.144,0.221,0.12,0.216,2.305,1.549
1105,0.227,0.468,0.151,0.165,0.106,0.154,2.163,1.714
1106,0.276,0.243,0.148,0.134,0.155,0.285,3.593,3.986
1108,0.321,0.418,0.146,0.166,0.137,0.175,2.973,2.308
1110,0.382,0.323,0.141,0.146,0.132,0.205,3.304,3.336
1111,0.3,0.37,0.162,0.133,0.129,0.146,4.389,3.386
1112,0.385,0.299,0.135,0.075,0.112,0.268,3.696,4.18
1113,0.362,0.354,0.154,0.157,0.168,0.146,3.681,1.498
1114,0.262,0.408,0.15,0.141,0.189,0.166,3.254,2.778
1116,0.172,0.229,0.173,0.14,0.21,0.148,2.298,2.344
1117,0.355,0.404,0.164,0.11,0.23,0.149,3.499,2.51
1119,0.332,0.443,0.172,0.125,0.141,0.155,3.201,1.009
112,0.119,0.276,0.155,0.178,0.163,0.251,3.218,3.85
1120,0.382,0.313,0.165,0.119,0.147,0.166,4.455,3.826
1122,0.355,0.265,0.13,0.222,0.109,0.187,3.831,4.262
1126,0.359,0.303,0.153,0.165,0.153,0.152,2.508,2.34
1128,0.354,0.369,0.142,0.149,0.121,0.192,3.278,2.571
1129,0.397,0.358,0.173,0.131,0.173,0.132,3.184,3.285
1130,0.412,0.225,0.137,0.157,0.131,0.187,3.869,4.172
1132,0.376,0.261,0.148,0.175,0.113,0.229,3.183,3.689
1133,0.326,0.423,0.136,0.227,0.127,0.171,2.936,3.242
1135,0.315,0.444,0.126,0.167,0.139,0.174,2.668,2.16
1136,0.37,0.323,0.153,0.172,0.146,0.184,4.031,3.741
1137,0.418,0.248,0.14,0.226,0.145,0.225,3.108,4.077
1138,0.397,0.233,0.162,0.171,0.152,0.279,3.472,5.083
1139,0.338,0.401,0.16,0.208,0.148,0.208,3.154,2.001
114,0.311,0.318,0.227,0.118,0.23,0.108,4.105,3.331
1140,0.329,0.308,0.147,0.248,0.13,0.272,3.199,4.147
1141,0.367,0.322,0.128,0.154,0.164,0.14,2.419,2.047
1142,0.393,0.33,0.147,0.157,0.155,0.189,2.355,3.579
1143,0.32,0.315,0.127,0.045,0.16,0.31,4.086,3.818
1145,0.346,0.344,0.145,0.17,0.18,0.164,2.38,2.968
1146,0.361,0.345,0.147,0.329,0.104,0.275,2.893,4.266
1147,0.405,0.299,0.153,0.186,0.11,0.199,2.293,2.554
1148,0.414,0.29,0.132,0.228,0.123,0.221,2.859,4.082
1149,0.395,0.28,0.156,0.146,0.2,0.171,3.511,3.594
115,0.459,0.305,0.244,0.128,0.245,0.14,2.754,3.55
1150,0.355,0.336,0.161,0.064,0.153,0.103,3.822,1.301
1153,0.38,0.246,0.129,0.174,0.162,0.211,3.043,2.413
1157,0.43,0.211,0.153,0.211,0.136,0.21,2.966,2.827
1158,0.349,0.331,0.16,0.18,0.181,0.118,2.559,2.403
1159,0.378,0.554,0.162,0.092,0.132,0.115,2.562,0.906
116,0.177,0.267,0.145,0.156,0.186,0.158,4.272,3.123
1162,0.293,0.352,0.163,0.123,0.165,0.148,4.081,3.646
1163,0.322,0.364,0.203,0.153,0.131,0.132,3.487,2.323
1166,0.297,0.394,0.107,0.197,0.171,0.205,2.446,2.34
117,0.167,0.363,0.189,0.152,0.211,0.152,3.094,3.205
1170,0.362,0.297,0.156,0.038,0.144,0.105,3.503,2.643
1174,0.406,0.349,0.151,0.134,0.183,0.141,3.084,2.584
1178,0.269,0.567,0.14,0.193,0.131,0.169,2.661,1.263
1180,0.388,0.243,0.175,0.136,0.221,0.175,4.132,3.508
1182,0.41,0.219,0.147,0.132,0.106,0.175,2.63,3.658
1183,0.366,0.346,0.208,0.086,0.214,0.059,3.767,1.571
1184,0.532,0.293,0.157,0.14,0.136,0.175,3.89,4.375
1185,0.353,0.264,0.148,0.184,0.143,0.249,4.328,3.713
1187,0.369,0.419,0.135,0.326,0.138,0.194,2.974,2.506
1188,0.494,0.277,0.116,0.17,0.083,0.202,2.533,4.207
119,0.257,0.236,0.157,0.122,0.182,0.16,3.543,2.865
1195,0.327,0.33,0.168,0.226,0.123,0.254,2.791,4.299
1197,0.343,0.323,0.153,0.189,0.124,0.228,3.428,4.306
1199,0.311,0.232,0.137,0.108,0.188,0.178,3.482,3.938
120,0.312,0.217,0.155,0.183,0.125,0.211,3.039,2.362
1201,0.375,0.296,0.176,0.177,0.134,0.205,4.28,3.555
1202,0.263,0.289,0.135,0.207,0.132,0.253,3.7,4.539
1203,0.39,0.26,0.154,0.175,0.128,0.167,4.047,3.226
1205,0.432,0.248,0.137,0.129,0.102,0.18,3.779,3.768
1207,0.327,0.183,0.109,0.222,0.137,0.183,2.716,3.504
1210,0.356,0.323,0.119,0.225,0.107,0.204,2.2,3.365
1212,0.375,0.309,0.119,0.228,0.1,0.185,2.564,3.897
1217,0.37,0.212,0.152,0.261,0.108,0.182,2.96,3.754
1220,0.386,0.328,0.152,0.156,0.123,0.221,2.885,4.046
1221,0.377,0.397,0.153,0.181,0.127,0.128,2.665,3.075
1222,0.281,0.428,0.152,0.177,0.159,0.187,3.667,1.498
1223,0.383,0.228,0.106,0.21,0.123,0.219,2.573,3.566
1224,0.479,0.253,0.114,0.17,0.084,0.193,2.938,3.954
1232,0.342,0.3,0.149,0.167,0.165,0.161,3.087,3.502
1234,0.337,0.491,0.17,0.192,0.157,0.152,3.282,1.585
1235,0.259,0.393,0.137,0.141,0.15,0.195,2.834,2.645
1236,0.282,0.442,0.153,0.104,0.136,0.214,3.724,4.599
1238,0.344,0.348,0.13,0.163,0.125,0.16,2.598,2.893
1240,0.248,0.368,0.141,0.221,0.151,0.189,3.476,2.111
1247,0.341,0.3,0.148,0.168,0.165,0.161,3.089,3.496
1248,0.367,0.255,0.143,0.325,0.147,0.236,3.062,4.277
1249,0.278,0.242,0.11,0.24,0.113,0.202,2.74,3.673
125,0.206,0.168,0.177,0.156,0.183,0.221,1.904,3.551
1251,0.326,0.333,0.125,0.163,0.146,0.189,2.524,2.875
1252,0.366,0.328,0.177,0.163,0.122,0.218,2.856,3.245
1253,0.324,0.32,0.122,0.232,0.14,0.267,3.753,3.948
1254,0.324,0.321,0.149,0.161,0.145,0.202,2.755,3.364
1255,0.335,0.244,0.138,0.154,0.146,0.184,3.087,4.897
1257,0.362,0.217,0.158,0.116,0.233,0.176,3.843,4.512
1258,0.436,0.231,0.146,0.132,0.119,0.241,3.433,3.9
1259,0.343,0.538,0.167,0.123,0.134,0.18,3.071,2.686
126,0.226,0.224,0.146,0.21,0.109,0.257,2.231,4.558
1260,0.401,0.278,0.147,0.106,0.117,0.191,4.086,3.697
1262,0.249,0.354,0.183,0.092,0.165,0.144,3.531,2.835
1266,0.304,0.305,0.148,0.185,0.136,0.139,2.206,2.526
